time,phase,knee_r_rad,knee_l_rad,hip_r_rad,hip_l_rad,ankle_r_rad,ankle_l_rad,tau_demand_r_Nm,tau_demand_l_Nm,X_geom_r_mm,X_geom_l_mm
0.5000000000000003,2,1.7220252695167704,1.7216896230836876,1.0824475513874485,1.0831787859763968,0.064835666140708,0.06953781325627231,0.8165850298443811,0.7874182911545038,0.6993682620807407,0.707759422907811
0.5100000000000003,2,1.7216484831069225,1.7212844960640474,1.0819118745559857,1.0825507667502297,0.06891605220086089,0.07418389025603035,0.8758090130397456,0.8536900763238986,0.7087879223269368,0.7178875983988143
0.5200000000000004,2,1.7199402220189357,1.7196341810704712,1.0779792871428178,1.0786787540686311,0.07940374769663537,0.08460156754232334,0.9954470361413321,0.9549328401531696,0.7514944495266075,0.7591454732382209
0.5300000000000004,2,1.7177373189740621,1.7175086326352513,1.0721132734792145,1.0731689911644853,0.08815700649160539,0.0915828112312806,0.9106746844766977,0.8879523029259726,0.8065670256484471,0.8122841841187167
0.5400000000000004,2,1.7155991458246536,1.7156834990108887,1.0677721295932305,1.068837512454887,0.0832228538764107,0.08829846656451333,0.8823644324053586,0.8602606190300524,0.8600213543836611,0.8579125247277831
0.5500000000000004,2,1.7138026360559298,1.7146249066527135,1.0615338864200572,1.0635067322275302,0.0856107764770983,0.08951407480014195,0.8413800864160592,0.8246900891185547,0.9049340986017562,0.8843773336821626
0.5600000000000004,2,1.7143485129140834,1.7154159920026721,1.0396353671763812,1.0419114049979123,0.0898201737830195,0.0948222980585092,1.188453618523619,1.146399191418615,0.8912871771479147,0.8646001999331965
0.5700000000000004,2,1.717023310086625,1.7180700777643882,0.9869875506418611,0.9893762095341522,0.10364898118572402,0.10875739004688811,2.2128652049507167,2.3148860184571056,0.8244172478343748,0.7982480558902938
0.5800000000000004,2,1.7198829678870826,1.7207423247375544,0.9077113292661222,0.9100364674196744,0.12343522030314104,0.12823719163219482,4.308789108166156,4.453882994400043,0.7529258028229346,0.7314418815611402
0.5900000000000004,2,1.7202350733730372,1.7211076743425484,0.8025648163340846,0.8049720607698247,0.14895087250476385,0.15324123025150557,8.017180530714558,8.086930560479349,0.744123165674071,0.7223081414362899
0.6000000000000004,2,1.7182407862886269,1.7196417600896043,0.7335407445821467,0.7363681312613725,0.16731424488692742,0.17176049427346107,3.2284232131773507,3.0526823862247845,0.7939803427843284,0.7589559977598915
0.6100000000000004,2,1.7114880503288432,1.713872838478793,0.6811834974073078,0.6849849384402673,0.18148319289118073,0.1853663033581902,5.166573621666698,5.191283745571168,0.9627987417789197,0.9031790380301775
0.6200000000000004,2,1.7008496047589035,1.7025129172978004,0.6291899373103761,0.632571467272781,0.19187307880626175,0.1958149877568263,4.442245466259784,4.869646914693556,1.2287598810274136,1.1871770675549898
0.6300000000000004,2,1.6858237403576435,1.6878743126111018,0.5771135985713132,0.5804854336441602,0.19945992974911644,0.20476583006769272,5.586235927103395,5.722689533447513,1.604406491058913,1.5531421847224558
0.6400000000000005,2,1.6673171173485055,1.6698756906902674,0.525882344973289,0.5299199907386716,0.20503334037949034,0.20982417798050565,5.283774383194997,5.18557499468149,2.067072066287362,2.0031077327433144
0.6500000000000005,2,1.6448373344073004,1.647722889957866,0.4754467602772485,0.48013170997038346,0.20754113797880536,0.21223785620617105,5.8366052573417715,6.011527097316348,2.62906663981749,2.5569277510533506
0.6600000000000005,2,1.6191914218837622,1.6222838896539977,0.42820252748865867,0.4332674931805115,0.20793145869551105,0.21267284598035255,5.5728749956219055,5.745304111510883,3.2702144529059454,3.1929027586500567
0.6700000000000005,2,1.5898206650640911,1.5931183071276167,0.38306915693224086,0.38853784908399025,0.20509299303426148,0.2091269145181763,5.9133423345381,5.925811415136014,4.004483373397721,3.9220423218095823
0.6800000000000005,2,1.557540848889906,1.5610406168497655,0.3406584574973954,0.34667498030849353,0.2010187963288037,0.2042613779208047,5.697098524357962,5.808280652737052,4.811478777752349,4.723984578755863
0.6900000000000005,2,1.5265289910767335,1.5302896142604705,0.30084363656184177,0.3072655619409448,0.19624295879942522,0.1992287037153668,4.93847143605084,5.020961034187874,5.586775223081664,5.492759643488238
0.7000000000000005,2,1.4988436626089925,1.5030308074930885,0.2690819695382151,0.27597143285400033,0.1928958192868621,0.1954250373906449,4.441501436280635,4.625977417323941,6.278908434775188,6.174229812672788
0.7100000000000005,2,1.468830582773703,1.472900734241504,0.2387718870053341,0.24590909451196608,0.18765910351419635,0.18990925947913945,4.918206169454221,5.056820224394812,7.029235430657427,6.927481643962403
0.7200000000000005,2,1.4365342251137136,1.4411880503056758,0.2124735717845342,0.22005949071884448,0.18082693188491114,0.1833741117466976,4.563492003100469,4.670825362914989,7.83664437215716,7.720298742358106
